"Level","Silver","Gold","Exp","Honor","Items"
"1","0","0","0","0","49;1"
"2","0","0","0","0","49;1"
"3","0","0","0","0","49;1"
"4","0","0","0","0","49;2"
"5","0","0","0","0","49;3"
"6","0","0","0","0","49;4"
"7","0","0","0","0","49;6"
"8","0","0","0","0","49;8"
"9","0","0","0","0","50;9"
"10","0","0","0","0","50;2"
"11","0","0","0","0","50;3"
"12","0","0","0","0","50;3"
"13","0","0","0","0","50;4"
"14","0","0","0","0","50;4"
"15","0","0","0","0","50;5"
"16","0","0","0","0","50;6"
"17","0","0","0","0","50;6"
"18","0","0","0","0","50;7"
"19","0","0","0","0","50;8"
"20","0","0","0","0","50;9"
"21","0","0","0","0","50;10"
"22","0","0","0","0","51;2"
"23","0","0","0","0","51;2"
"24","0","0","0","0","51;3"
"25","0","0","0","0","51;3"
"26","0","0","0","0","51;3"
"27","0","0","0","0","51;3"
"28","0","0","0","0","51;3"
"29","0","0","0","0","51;4"
"30","0","0","0","0","51;4"
"31","0","0","0","0","51;4"
"32","0","0","0","0","51;4"
"33","0","0","0","0","51;5"
"34","0","0","0","0","51;5"
"35","0","0","0","0","51;5"
"36","0","0","0","0","51;6"
"37","0","0","0","0","51;6"
"38","0","0","0","0","51;6"
"39","0","0","0","0","51;7"
"40","0","0","0","0","51;7"
"41","0","0","0","0","51;7"
"42","0","0","0","0","51;8"
"43","0","0","0","0","51;8"
"44","0","0","0","0","51;8"
"45","0","0","0","0","51;9"
"46","0","0","0","0","51;9"
"47","0","0","0","0","51;9"
"48","0","0","0","0","51;10"
"49","0","0","0","0","51;10"
"50","0","0","0","0","51;11"
